Time_Key,Year,Quarter,YearQuarter
1,2018,Q2,2018-Q2
2,2018,Q4,2018-Q4
3,2019,Q2,2019-Q2
4,2019,Q4,2019-Q4
5,2020,Q2,2020-Q2
6,2020,Q4,2020-Q4
7,2021,Q2,2021-Q2
8,2021,Q4,2021-Q4
9,2022,Q2,2022-Q2
10,2022,Q4,2022-Q4
11,2023,Q2,2023-Q2
12,2023,Q4,2023-Q4
13,2024,Q2,2024-Q2
14,2024,Q4,2024-Q4
