Patent_ID,Country_Key,Time_Key,PatentAuthorityKey,PatentMeasureKey,AgentRoleKey,PatentCount
2082,1,1,1,1,1,0.0
2081,1,1,1,1,2,1.416700005531311
2085,1,1,1,2,1,0.0
2086,1,1,1,2,1,1.0
2083,1,1,1,2,2,0.5
2084,1,1,1,2,2,1.533300042152405
2090,1,1,2,1,1,0.0
2089,1,1,2,1,2,0.6499999761581421
2093,1,1,2,2,1,0.0
2094,1,1,2,2,1,2.0
2091,1,1,2,2,2,0.4000000059604645
2092,1,1,2,2,2,3.283299922943115
2088,1,1,3,1,1,10.0
2087,1,1,3,1,2,11.41670036315918
2096,1,2,1,1,1,1.0
2095,1,2,1,1,2,1.0
2099,1,2,1,2,1,1.0
2100,1,2,1,2,1,1.0
2097,1,2,1,2,2,1.0
2098,1,2,1,2,2,1.272699952125549
2104,1,2,2,1,1,0.0
2103,1,2,2,1,2,0.699999988079071
2107,1,2,2,2,1,0.0
2108,1,2,2,2,1,0.0
2105,1,2,2,2,2,0.5
2106,1,2,2,2,2,1.25
2102,1,2,3,1,1,7.0
2101,1,2,3,1,2,8.0
2110,1,3,1,1,1,2.0
2109,1,3,1,1,2,2.700000047683716
2113,1,3,1,2,1,0.0
2114,1,3,1,2,1,0.0
2111,1,3,1,2,2,0.0
2112,1,3,1,2,2,1.533300042152405
2118,1,3,2,1,1,3.866699934005737
2117,1,3,2,1,2,5.566699981689453
2121,1,3,2,2,1,2.0
2122,1,3,2,2,1,0.2000000029802322
2119,1,3,2,2,2,2.5
2120,1,3,2,2,2,0.5611000061035156
2116,1,3,3,1,1,13.33329963684082
2115,1,3,3,1,2,13.36670017242432
2124,1,4,1,1,1,1.0
2123,1,4,1,1,2,1.0
2126,1,4,1,2,1,0.0
2125,1,4,1,2,2,0.0
2130,1,4,2,1,1,0.5
2129,1,4,2,1,2,2.933300018310547
2132,1,4,2,2,1,0.5
2131,1,4,2,2,2,0.8999999761581421
2128,1,4,3,1,1,7.0
2127,1,4,3,1,2,8.08329963684082
2134,2,1,1,1,1,5.5
2133,2,1,1,1,2,6.699999809265137
2137,2,1,1,2,1,0.0
2138,2,1,1,2,1,3.0
2135,2,1,1,2,2,1.200000047683716
2136,2,1,1,2,2,3.25
2142,2,1,2,1,1,3.333300113677979
2141,2,1,2,1,2,3.5
2145,2,1,2,2,1,2.333300113677979
2146,2,1,2,2,1,2.0
2143,2,1,2,2,2,3.0
2144,2,1,2,2,2,1.083299994468689
2140,2,1,3,1,1,6.0
2139,2,1,3,1,2,8.449999809265137
2148,2,2,1,1,1,0.0
2147,2,2,1,1,2,1.700000047683716
2151,2,2,1,2,1,0.0
2152,2,2,1,2,1,2.0
2149,2,2,1,2,2,0.449999988079071
2150,2,2,1,2,2,2.0
2156,2,2,2,1,1,1.0
2155,2,2,2,1,2,1.233299970626831
2159,2,2,2,2,1,1.0
2160,2,2,2,2,1,1.0
2157,2,2,2,2,2,1.233299970626831
2158,2,2,2,2,2,0.833299994468689
2154,2,2,3,1,1,3.5
2153,2,2,3,1,2,4.083300113677979
2162,2,3,1,1,1,2.0
2161,2,3,1,1,2,1.958299994468689
2165,2,3,1,2,1,0.0
2166,2,3,1,2,1,1.0
2163,2,3,1,2,2,0.0
2164,2,3,1,2,2,0.166700005531311
2170,2,3,2,1,1,2.0
2169,2,3,2,1,2,0.833299994468689
2173,2,3,2,2,1,1.0
2174,2,3,2,2,1,0.0
2171,2,3,2,2,2,0.166700005531311
2172,2,3,2,2,2,2.366699934005737
2168,2,3,3,1,1,1.333299994468689
2167,2,3,3,1,2,1.958299994468689
2176,2,4,1,1,1,3.166699886322021
2175,2,4,1,1,2,0.958299994468689
2178,2,4,1,2,1,0.0
2177,2,4,1,2,2,0.2000000029802322
2182,2,4,2,1,1,0.666700005531311
2181,2,4,2,1,2,0.5
2184,2,4,2,2,1,0.666700005531311
2183,2,4,2,2,2,0.699999988079071
2180,2,4,3,1,1,3.166699886322021
2179,2,4,3,1,2,1.583299994468689
2186,3,1,1,1,1,25.16670036315918
2185,3,1,1,1,2,51.02500152587891
2189,3,1,1,2,1,6.333300113677979
2190,3,1,1,2,1,15.23330020904541
2187,3,1,1,2,2,12.98569965362549
2188,3,1,1,2,2,34.95869827270508
2194,3,1,2,1,1,61.59999847412109
2193,3,1,2,1,2,143.1441040039063
2197,3,1,2,2,1,35.26670074462891
2198,3,1,2,2,1,35.26900100708008
2195,3,1,2,2,2,112.0127029418945
2196,3,1,2,2,2,88.1344985961914
2192,3,1,3,1,1,37.95830154418945
2191,3,1,3,1,2,62.85120010375977
2200,3,2,1,1,1,20.66670036315918
2199,3,2,1,1,2,45.52619934082031
2203,3,2,1,2,1,6.666699886322021
2204,3,2,1,2,1,19.58329963684082
2201,3,2,1,2,2,13.36670017242432
2202,3,2,1,2,2,40.05709838867188
2208,3,2,2,1,1,62.91669845581055
2207,3,2,2,1,2,169.0272979736328
2211,3,2,2,2,1,28.25
2212,3,2,2,2,1,55.36669921875
2209,3,2,2,2,2,104.3308029174805
2210,3,2,2,2,2,134.5711975097656
2206,3,2,3,1,1,27.33329963684082
2205,3,2,3,1,2,58.89289855957031
2214,3,3,1,1,1,27.33329963684082
2213,3,3,1,1,2,53.43330001831055
2217,3,3,1,2,1,2.0
2218,3,3,1,2,1,11.39999961853027
2215,3,3,1,2,2,2.833300113677979
2216,3,3,1,2,2,29.42060089111328
2222,3,3,2,1,1,70.25
2221,3,3,2,1,2,140.7648010253906
2225,3,3,2,2,1,25.25
2226,3,3,2,2,1,38.54439926147461
2223,3,3,2,2,2,69.27259826660156
2224,3,3,2,2,2,107.5494995117188
2220,3,3,3,1,1,39.5
2219,3,3,3,1,2,67.76229858398438
2228,3,4,1,1,1,14.06669998168945
2227,3,4,1,1,2,29.9242000579834
2230,3,4,1,2,1,10.73330020904541
2229,3,4,1,2,2,26.30789947509766
2234,3,4,2,1,1,47.5
2233,3,4,2,1,2,126.8523025512695
2236,3,4,2,2,1,37.32780075073242
2235,3,4,2,2,2,110.9056015014648
2232,3,4,3,1,1,28.33329963684082
2231,3,4,3,1,2,53.80759811401367
2238,4,1,1,1,1,1.0
2237,4,1,1,1,2,5.682600021362305
2241,4,1,1,2,1,1.0
2242,4,1,1,2,1,0.5
2239,4,1,1,2,2,1.0
2240,4,1,1,2,2,3.583300113677979
2246,4,1,2,1,1,3.5
2245,4,1,2,1,2,14.24209976196289
2249,4,1,2,2,1,0.0
2250,4,1,2,2,1,3.866699934005737
2247,4,1,2,2,2,7.934500217437744
2248,4,1,2,2,2,14.16670036315918
2244,4,1,3,1,1,5.0
2243,4,1,3,1,2,12.1826000213623
2252,4,2,1,1,1,0.333299994468689
2251,4,2,1,1,2,4.198400020599365
2255,4,2,1,2,1,0.0
2256,4,2,1,2,1,0.0
2253,4,2,1,2,2,0.0
2254,4,2,1,2,2,5.0
2260,4,2,2,1,1,0.0
2259,4,2,2,1,2,27.54129981994629
2263,4,2,2,2,1,4.5
2264,4,2,2,2,1,2.666699886322021
2261,4,2,2,2,2,22.08329963684082
2262,4,2,2,2,2,26.55120086669922
2258,4,2,3,1,1,3.0
2257,4,2,3,1,2,5.365099906921387
2266,4,3,1,1,1,1.5
2265,4,3,1,1,2,5.617899894714355
2269,4,3,1,2,1,0.5
2270,4,3,1,2,1,1.5
2267,4,3,1,2,2,1.933300018310547
2268,4,3,1,2,2,5.892899990081787
2274,4,3,2,1,1,0.25
2273,4,3,2,1,2,19.52020072937012
2277,4,3,2,2,1,0.0
2278,4,3,2,2,1,3.950000047683716
2275,4,3,2,2,2,7.142899990081787
2276,4,3,2,2,2,21.04290008544922
2272,4,3,3,1,1,2.5
2271,4,3,3,1,2,7.351200103759766
2280,4,4,1,1,1,3.0
2279,4,4,1,1,2,3.833300113677979
2282,4,4,1,2,1,0.0
2281,4,4,1,2,2,3.616699934005737
2286,4,4,2,1,1,3.164299964904785
2285,4,4,2,1,2,16.33099937438965
2288,4,4,2,2,1,1.0
2287,4,4,2,2,2,20.46669960021973
2284,4,4,3,1,1,4.5
2283,4,4,3,1,2,7.190499782562256
2,5,1,1,1,1,883.0
1,5,1,1,1,2,988.8630981445312
5,5,1,1,2,1,123.1667022705078
6,5,1,1,2,1,536.75
3,5,1,1,2,2,178.085693359375
4,5,1,1,2,2,683.9265747070312
10,5,1,2,1,1,1999.699951171875
9,5,1,2,1,2,2425.010986328125
13,5,1,2,2,1,1166.766723632813
14,5,1,2,2,1,1239.226928710938
11,5,1,2,2,2,1529.198852539063
12,5,1,2,2,2,1676.79931640625
8,5,1,3,1,1,1763.886108398438
7,5,1,3,1,2,1907.194946289063
16,5,2,1,1,1,897.6857299804688
15,5,2,1,1,2,1015.203796386719
19,5,2,1,2,1,46.5
20,5,2,1,2,1,622.8333129882812
17,5,2,1,2,2,79.4447021484375
18,5,2,1,2,2,794.2683715820312
24,5,2,2,1,1,2102.45703125
23,5,2,2,1,2,2486.98974609375
