ICT_ID,Country_Key,Time_Key,Measure_Key,ICTUsagePercentage
1,1,1,1,87.4791
2,1,2,1,87.7522
3,1,3,1,87.5294
4,1,4,1,92.5291
5,1,5,1,93.6141
6,1,6,1,95.33470000000001
7,1,7,1,94.91969999999999
8,1,8,1,95.3039
9,2,1,1,88.6551
10,2,2,1,90.27539999999999
11,2,3,1,91.5264
12,2,4,1,92.7887
13,2,5,1,94.0078
14,2,6,1,94.6263
15,2,7,1,95.7758
16,2,8,1,96.4608
236,3,1,1,71.64224449
237,3,2,1,75.81524792
238,3,3,1,82.34
239,3,4,1,82.38
240,3,5,1,81.95
241,3,6,1,86.09
242,3,7,1,86.05
243,4,1,1,64.782
244,4,2,1,67.947
245,4,3,1,70.16250000000001
246,4,4,1,75.2714
247,4,5,1,79.1269
248,4,6,1,80.3896
249,4,7,1,82.4389
250,4,8,1,86.84530000000001
17,5,1,1,94.6396
18,5,3,1,95.1
19,5,5,1,96.89
20,6,6,1,96.79
21,6,7,1,97.3
22,7,1,1,78.29463317
23,7,2,1,86.3976938
24,7,3,1,85.15786298
25,7,4,1,86.9446896
26,7,5,1,87.774729
27,7,6,1,91.9
28,7,7,1,92.96399643403909
251,8,1,1,75.2946
252,8,2,1,79.0798
253,8,3,1,78.32090000000001
254,8,4,1,81.254
255,8,5,1,82.0716
256,8,6,1,83.3982
257,8,7,1,83.63239999999999
258,8,8,1,85.9007
29,9,1,1,86.5024
30,9,2,1,87.0339
31,9,3,1,87.6016
32,9,4,1,88.8537
33,9,5,1,90.643
34,9,6,1,92.0422
35,9,7,1,93.6969
36,9,8,1,94.524
37,10,1,1,97.6081
38,10,2,1,97.0633
39,10,3,1,98.661
40,10,4,1,98.8931
41,10,5,1,97.85740000000001
42,10,6,1,98.797
43,10,7,1,99.7688
44,10,8,1,99.7057
259,11,2,1,56.73560199
260,11,3,1,71.91420097
261,11,5,1,72.2
45,12,1,1,89.3605
46,12,2,1,90.23259999999999
47,12,3,1,89.0584
48,12,4,1,90.9841
49,12,5,1,91.50359999999999
50,12,6,1,93.1963
51,12,7,1,92.25489999999999
52,12,8,1,94.8591
53,13,1,1,94.3981
54,13,2,1,95.2912
55,13,3,1,96.9953
56,13,4,1,96.7059
57,13,5,1,97.25880000000001
58,13,6,1,97.6968
59,13,7,1,97.94850000000001
60,13,8,1,98.0796
61,14,1,1,88.17150000000001
62,14,2,1,89.38589999999999
63,14,4,1,91.5543
64,14,5,1,90.6009
65,14,6,1,92.8283
66,14,7,1,94.1429
67,14,8,1,94.978
68,15,1,1,92.35409999999999
69,15,2,1,92.9795
70,15,3,1,94.29990000000001
71,15,4,1,91.4306
72,15,5,1,91.62979999999999
73,15,6,1,92.4764
74,15,7,1,93.5
75,15,8,1,94.5813
76,16,1,1,72.2384
77,16,2,1,75.6712
78,16,3,1,78.11580000000001
79,16,4,1,78.4943
80,16,5,1,83.1707
81,16,6,1,85.0102
82,16,7,1,86.292
83,16,8,1,89.1532
84,17,1,1,76.0744
85,17,2,1,80.3717
86,17,3,1,84.77120000000001
87,17,4,1,88.6408
88,17,5,1,89.1428
89,17,6,1,91.4501
90,17,7,1,93.779
91,17,8,1,92.80460000000001
92,18,1,1,99.0198
93,18,2,1,99.0333
94,18,3,1,99.4731
95,18,4,1,99.4419
96,19,1,1,82.2106
97,19,2,1,90.3436
98,19,3,1,91.0143
99,19,4,1,98.93220000000001
100,19,5,1,92.0072
101,19,6,1,93.27260000000001
102,19,7,1,98.6024
103,19,8,1,99.7764
104,20,1,1,86.7
105,20,2,1,89.5
106,20,3,1,90.1
107,20,4,1,92.5
108,21,1,1,74.1506
109,21,2,1,75.5675
110,21,3,1,77.9465
111,21,4,1,81.5869
112,21,5,1,85.0692
113,21,6,1,86.9205
114,21,7,1,89.2333
115,21,8,1,90.32289999999999
116,22,1,1,96.02285882
117,22,2,1,96.15757971
118,22,3,1,96.50506035
119,22,4,1,97.571327
120,22,5,1,97.16855335
121,22,6,1,97.41597478
122,22,7,1,97.89563776623511
123,23,1,1,83.57719999999999
124,23,2,1,86.1355
125,23,3,1,88.898
126,23,4,1,91.2984
127,23,5,1,91.3145
128,23,6,1,92.3327
129,23,7,1,93.19669999999999
130,23,8,1,94.5298
131,24,1,1,79.7226
132,24,2,1,81.58189999999999
133,24,3,1,83.0556
134,24,4,1,86.9306
135,24,5,1,87.7242
136,24,6,1,88.5029
137,24,7,1,89.1612
138,24,8,1,89.2988
139,25,1,1,96.5167
140,25,2,1,96.4202
141,25,3,1,98.45960000000001
142,25,4,1,98.6609
143,25,5,1,98.2419
144,25,6,1,99.3479
145,25,7,1,98.7605
146,25,8,1,99.12910000000001
147,26,1,1,67.32916571
148,26,2,1,72.45780066
149,26,3,1,73.26410664
150,26,4,1,77.3656921
151,26,5,1,81.19615544
152,26,6,1,84.45393313828833
153,26,7,1,85.81666243198377
154,27,1,1,94.66329999999999
155,27,2,1,96.04780000000001
156,27,3,1,94.0188
157,27,4,1,94.5159
158,27,5,1,94.7427
159,27,6,1,99.1518
160,27,7,1,99.5219
161,27,8,1,99.70790000000001
162,28,1,1,97.38510000000001
163,28,2,1,98.3963
164,28,3,1,97.6195
165,28,4,1,99.4235
166,28,5,1,99.6965
167,28,6,1,99.6798
168,28,7,1,99.4646
169,28,8,1,98.8168
170,29,1,1,77.5417
171,29,2,1,80.4359
172,29,3,1,83.1849
173,29,4,1,85.3749
174,29,5,1,86.9411
175,29,6,1,86.4147
176,29,7,1,88.58500000000001
177,29,8,1,89.6531
178,30,1,1,74.661
179,30,2,1,75.3464
180,30,3,1,78.26140000000001
181,30,4,1,82.309
182,30,5,1,84.4969
183,30,6,1,85.7901
184,30,7,1,88.48700000000001
185,30,8,1,89.4516
262,31,1,1,70.68130000000001
263,31,2,1,73.6575
264,31,3,1,78.4553
265,31,4,1,83.5904
266,31,5,1,85.5031
267,31,6,1,89.2034
268,31,7,1,91.2905
269,31,8,1,93.15050000000001
186,32,1,1,80.4489
187,32,2,1,82.8537
188,32,3,1,89.9209
189,32,4,1,88.9256
190,32,5,1,89.0677
191,32,6,1,87.2131
192,32,7,1,89.8251
193,32,8,1,92.4941
194,33,1,1,79.75
195,33,2,1,83.1084
196,33,3,1,86.60130000000001
197,33,4,1,89.004
198,33,5,1,88.9124
199,33,6,1,90.3779
200,33,7,1,90.7635
201,33,8,1,91.5671
202,34,1,1,86.10719999999999
203,34,2,1,90.7187
204,34,3,1,93.2056
205,34,4,1,93.8975
206,34,5,1,94.4855
