R&D_ID,R&D_Key,Country_Key,Time_Key,ExpenditureAmount,ResearcherNumber
232,1,27,7,79,83
233,1,27,8,79,83
234,1,27,9,79,82
235,1,28,1,50,64
236,1,28,2,48,62
237,1,28,3,47,65
238,1,28,4,52,64
239,1,28,5,55,64
240,1,28,6,47,64
241,1,28,7,44,60
242,1,28,8,46,57
243,1,28,9,44,55
244,1,29,1,56,59
245,1,29,2,39,59
246,1,29,3,37,55
247,1,29,4,42,55
248,1,29,5,43,55
249,1,29,6,47,56
250,1,29,7,49,56
251,1,29,8,50,56
252,1,29,9,43,57
253,1,30,1,53,40
254,1,30,2,55,43
255,1,30,3,56,43
256,1,30,4,53,40
257,1,30,5,54,41
258,1,30,6,50,41
259,1,30,7,51,44
260,1,30,8,49,43
261,1,30,9,50,45
262,1,31,1,80,49
263,1,31,2,78,44
264,1,31,3,77,43
265,1,32,1,64,67
266,1,32,2,66,68
267,1,32,3,66,69
268,1,32,4,66,70
269,1,32,5,67,69
270,1,32,6,67,69
271,1,32,7,66,69
272,1,32,8,68,71
273,1,32,9,69,71
274,1,33,1,51,64
275,1,33,3,54,54
276,1,33,5,58,57
277,1,33,7,60,46
278,1,33,9,63,50
279,1,34,1,54,49
280,1,34,2,53,48
281,1,34,3,53,49
282,1,34,4,52,50
283,1,34,5,53,50
284,1,34,6,54,51
285,1,34,7,54,51
286,1,34,8,55,52
287,1,34,9,57,54
288,1,35,1,69,62
289,1,35,2,70,62
290,1,35,3,71,63
291,1,35,4,71,64
292,1,35,5,72,65
293,1,35,6,72,65
294,1,35,7,73,66
295,1,35,8,73,66
296,1,35,9,74,
297,1,36,1,47,49
298,1,36,2,66,58
299,1,36,3,64,53
300,1,36,4,66,54
301,1,36,5,63,59
302,1,36,6,63,56
303,1,36,7,63,55
304,1,36,8,66,56
305,1,36,9,65,56
306,1,37,1,46,65
307,1,37,2,48,63
308,1,37,3,50,61
309,1,37,4,51,61
310,1,37,5,52,60
311,1,37,6,57,61
312,1,37,7,60,61
313,1,37,8,62,61
314,1,37,9,63,62
315,1,38,1,44,49
316,1,38,2,55,49
317,1,38,3,57,49
318,1,38,4,59,50
319,1,38,5,58,50
320,1,38,6,59,50
321,1,38,7,60,52
322,1,38,8,62,51
