TelecomFact_ID,Country_Key,Time_Key,NetworkTypeKey,NetworkAccessKey,Telecom_Key,Unit_Key,MeasureValue
2848,6,6,1,6,2,2,62855.0
3863,6,6,1,7,2,2,28242.0
2401,6,6,1,10,2,2,500.0
16,6,6,1,12,2,2,2521379.0
4363,6,6,2,4,2,2,5657891.0
4975,6,6,2,5,2,2,2161508.0
5713,6,6,2,8,2,2,3321448.0
6238,6,6,2,9,1,1,16.4
628,6,6,2,12,2,2,7819399.0
1845,6,8,1,2,2,2,877956.0
1241,6,8,1,3,2,2,1539690.0
2849,6,8,1,6,2,2,67371.0
3864,6,8,1,7,2,2,28066.0
2402,6,8,1,10,2,2,616.0
17,6,8,1,12,2,2,2513699.0
4364,6,8,2,4,2,2,7362492.0
4976,6,8,2,5,2,2,2287748.0
5714,6,8,2,8,2,2,4257942.0
6239,6,8,2,9,1,1,17.94
629,6,8,2,12,2,2,9650240.0
1846,6,9,1,2,2,2,886198.0
1242,6,9,1,3,2,2,1529724.0
2850,6,9,1,6,2,2,75278.0
3865,6,9,1,7,2,2,27859.0
2403,6,9,1,10,2,2,662.0
18,6,9,1,12,2,2,2519721.0
4365,6,9,2,4,2,2,7657768.0
4977,6,9,2,5,2,2,2270874.0
5715,6,9,2,8,2,2,4994391.0
6240,6,9,2,9,1,1,18.77
630,6,9,2,12,2,2,9928642.0
1847,6,11,1,2,2,2,915801.0
1243,6,11,1,3,2,2,1498589.0
2851,6,11,1,6,2,2,108943.0
3866,6,11,1,7,2,2,9850.0
2404,6,11,1,10,2,2,1161.0
19,6,11,1,12,2,2,2534344.0
4366,6,11,2,4,2,2,7721416.0
4978,6,11,2,5,2,2,2157075.0
5716,6,11,2,8,2,2,5465124.0
6241,6,11,2,9,1,1,21.78
631,6,11,2,12,2,2,9878491.0
1848,6,12,1,2,2,2,936214.0
1244,6,12,1,3,2,2,1469851.0
2852,6,12,1,6,2,2,133100.0
3867,6,12,1,7,2,2,13618.0
2405,6,12,1,10,2,2,1927.0
20,6,12,1,12,2,2,2554710.0
4367,6,12,2,4,2,2,7952238.0
4979,6,12,2,5,2,2,2197389.0
5717,6,12,2,8,2,2,6243024.0
6242,6,12,2,9,1,1,22.74
632,6,12,2,12,2,2,10149627.0
1849,6,14,1,2,2,2,964000.0
1245,6,14,1,3,2,2,1440456.0
2853,6,14,1,6,2,2,150557.0
3868,6,14,1,7,2,2,14012.0
2406,6,14,1,10,2,2,3486.0
21,6,14,1,12,2,2,2572511.0
4368,6,14,2,4,2,2,8102768.0
4980,6,14,2,5,2,2,2169955.0
5718,6,14,2,8,2,2,7358550.0
6243,6,14,2,9,1,1,26.15
633,6,14,2,12,2,2,10272723.0
1850,6,15,1,2,2,2,978564.0
1246,6,15,1,3,2,2,1448463.0
2854,6,15,1,6,2,2,179804.0
3869,6,15,1,7,2,2,14455.0
2407,6,15,1,10,2,2,2068.0
22,6,15,1,12,2,2,2623354.0
4369,6,15,2,4,2,2,8379946.0
4981,6,15,2,5,2,2,2217461.0
5719,6,15,2,8,2,2,8441606.0
6244,6,15,2,9,1,1,26.35
634,6,15,2,12,2,2,10597407.0
1851,6,17,1,2,2,2,959720.0
1247,6,17,1,3,2,2,1435611.0
2855,6,17,1,6,2,2,201254.0
3870,6,17,1,7,2,2,15629.0
2408,6,17,1,10,2,2,4611.0
3451,6,17,1,11,2,2,1142.0
23,6,17,1,12,2,2,2617967.0
4370,6,17,2,4,2,2,8370598.0
4982,6,17,2,5,2,2,2252195.0
5720,6,17,2,8,2,2,9305767.0
6245,6,17,2,9,1,1,28.86
635,6,17,2,12,2,2,10622793.0
1852,6,18,1,2,2,2,998845.0
1248,6,18,1,3,2,2,1393280.0
2856,6,18,1,6,2,2,241940.0
3871,6,18,1,7,2,2,15154.0
2409,6,18,1,10,2,2,2114.0
3452,6,18,1,11,2,2,1765.0
24,6,18,1,12,2,2,2653098.0
5518,6,18,2,1,2,2,787968.0
4371,6,18,2,4,2,2,8566480.0
4983,6,18,2,5,2,2,2308199.0
5721,6,18,2,8,2,2,14388296.0
6246,6,18,2,9,1,1,29.79
636,6,18,2,12,2,2,10874679.0
1853,6,20,1,2,2,2,968961.0
1249,6,20,1,3,2,2,1387861.0
2857,6,20,1,6,2,2,281950.0
3872,6,20,1,7,2,2,15543.0
2410,6,20,1,10,2,2,6101.0
3453,6,20,1,11,2,2,2390.0
25,6,20,1,12,2,2,2662806.0
5519,6,20,2,1,2,2,1302976.0
4372,6,20,2,4,2,2,9045288.0
4984,6,20,2,5,2,2,2330468.0
5722,6,20,2,8,2,2,16222704.0
6247,6,20,2,9,1,1,33.33
637,6,20,2,12,2,2,11375756.0
1854,6,21,1,2,2,2,977737.0
1250,6,21,1,3,2,2,1384921.0
2858,6,21,1,6,2,2,307232.0
3873,6,21,1,7,2,2,15413.0
2411,6,21,1,10,2,2,7071.0
3454,6,21,1,11,2,2,3427.0
26,6,21,1,12,2,2,2695801.0
5520,6,21,2,1,2,2,1813889.0
4373,6,21,2,4,2,2,9147142.0
4985,6,21,2,5,2,2,2341952.0
5723,6,21,2,8,2,2,19106991.0
6248,6,21,2,9,1,1,34.28
638,6,21,2,12,2,2,11489094.0
1855,6,23,1,2,2,2,984859.0
1251,6,23,1,3,2,2,1375879.0
2859,6,23,1,6,2,2,323980.0
3874,6,23,1,7,2,2,15045.0
2412,6,23,1,10,2,2,4632.0
3455,6,23,1,11,2,2,6066.0
27,6,23,1,12,2,2,2710461.0
5521,6,23,2,1,2,2,2666255.0
4374,6,23,2,4,2,2,9251882.0
4986,6,23,2,5,2,2,2639066.0
5724,6,23,2,8,2,2,21257218.0
6249,6,23,2,9,1,1,36.63
639,6,23,2,12,2,2,11890948.0
1856,6,24,1,2,2,2,1036706.0
1252,6,24,1,3,2,2,1316356.0
2860,6,24,1,6,2,2,374728.0
3875,6,24,1,7,2,2,15604.0
2413,6,24,1,10,2,2,6923.0
3456,6,24,1,11,2,2,8765.0
28,6,24,1,12,2,2,2759082.0
5522,6,24,2,1,2,2,3303365.0
4375,6,24,2,4,2,2,9276835.0
4987,6,24,2,5,2,2,2770206.0
5725,6,24,2,8,2,2,23803156.0
6250,6,24,2,9,1,1,36.74
640,6,24,2,12,2,2,12047041.0
1857,8,5,1,2,2,2,2286801.0
1253,8,5,1,3,2,2,2094562.0
2861,8,5,1,6,2,2,24714.0
2414,8,5,1,10,2,2,5248.0
29,8,5,1,12,2,2,4411325.0
4376,8,5,2,4,2,2,7865406.0
4988,8,5,2,5,2,2,711213.0
5726,8,5,2,8,2,2,2184388.0
6251,8,5,2,9,1,1,1.57
641,8,5,2,12,2,2,8576619.0
1858,8,6,1,2,2,2,2339840.0
1254,8,6,1,3,2,2,2126179.0
2862,8,6,1,6,2,2,32464.0
2415,8,6,1,10,2,2,4467.0
30,8,6,1,12,2,2,4502950.0
4377,8,6,2,4,2,2,8122930.0
4989,8,6,2,5,2,2,578128.0
5727,8,6,2,8,2,2,2466416.0
6252,8,6,2,9,1,1,1.81
642,8,6,2,12,2,2,8701058.0
1859,8,8,1,2,2,2,2371953.0
1255,8,8,1,3,2,2,2122216.0
2863,8,8,1,6,2,2,44473.0
2416,8,8,1,10,2,2,3976.0
31,8,8,1,12,2,2,4542618.0
4378,8,8,2,4,2,2,8356437.0
4990,8,8,2,5,2,2,591812.0
5728,8,8,2,8,2,2,2838368.0
6253,8,8,2,9,1,1,2.48
643,8,8,2,12,2,2,8948249.0
1860,8,9,1,2,2,2,2409042.0
1256,8,9,1,3,2,2,2123131.0
2864,8,9,1,6,2,2,47868.0
2417,8,9,1,10,2,2,12993.0
32,8,9,1,12,2,2,4593034.0
4379,8,9,2,4,2,2,9442929.0
4991,8,9,2,5,2,2,594282.0
5729,8,9,2,8,2,2,3103522.0
6254,8,9,2,9,1,1,2.66
644,8,9,2,12,2,2,10037211.0
1861,8,11,1,2,2,2,2485382.0
1257,8,11,1,3,2,2,2129612.0
2865,8,11,1,6,2,2,59221.0
2418,8,11,1,10,2,2,12849.0
33,8,11,1,12,2,2,4687064.0
4380,8,11,2,4,2,2,9400862.0
4992,8,11,2,5,2,2,635730.0
5730,8,11,2,8,2,2,3672350.0
6255,8,11,2,9,1,1,3.21
645,8,11,2,12,2,2,10036592.0
1862,8,12,1,2,2,2,2533175.0
1258,8,12,1,3,2,2,2142279.0
2866,8,12,1,6,2,2,77547.0
2419,8,12,1,10,2,2,12849.0
34,8,12,1,12,2,2,4765850.0
4381,8,12,2,4,2,2,9695925.0
4993,8,12,2,5,2,2,642018.0
5731,8,12,2,8,2,2,4089624.0
6256,8,12,2,9,1,1,3.41
646,8,12,2,12,2,2,10337943.0
1863,8,14,1,2,2,2,2533591.0
1259,8,14,1,3,2,2,2138796.0
2867,8,14,1,6,2,2,103624.0
2420,8,14,1,10,2,2,12731.0
35,8,14,1,12,2,2,4788742.0
4382,8,14,2,4,2,2,9808068.0
4994,8,14,2,5,2,2,634393.0
5732,8,14,2,8,2,2,4925824.0
6257,8,14,2,9,1,1,3.67
647,8,14,2,12,2,2,10442461.0
1864,8,15,1,2,2,2,2615375.0
1260,8,15,1,3,2,2,2120740.0
2868,8,15,1,6,2,2,139880.0
3876,8,15,1,7,2,2,88258.0
2421,8,15,1,10,2,2,12834.0
3457,8,15,1,11,2,2,899.0
36,8,15,1,12,2,2,4977986.0
4383,8,15,2,4,2,2,10146573.0
4995,8,15,2,5,2,2,675776.0
5733,8,15,2,8,2,2,5456735.0
6258,8,15,2,9,1,1,4.1
648,8,15,2,12,2,2,10822349.0
1865,8,17,1,2,2,2,2635032.0
1261,8,17,1,3,2,2,2089652.0
2869,8,17,1,6,2,2,193742.0
3877,8,17,1,7,2,2,85012.0
2422,8,17,1,10,2,2,12546.0
3458,8,17,1,11,2,2,1130.0
37,8,17,1,12,2,2,5017114.0
4384,8,17,2,4,2,2,10277592.0
4996,8,17,2,5,2,2,762853.0
5734,8,17,2,8,2,2,5456735.0
6259,8,17,2,9,1,1,4.55
649,8,17,2,12,2,2,11040445.0
1866,8,18,1,2,2,2,2676338.0
1262,8,18,1,3,2,2,2044851.0
2870,8,18,1,6,2,2,250945.0
3878,8,18,1,7,2,2,85173.0
2423,8,18,1,10,2,2,12769.0
3459,8,18,1,11,2,2,1765.0
38,8,18,1,12,2,2,5071841.0
5523,8,18,2,1,2,2,1410855.0
4385,8,18,2,4,2,2,10300098.0
4997,8,18,2,5,2,2,760414.0
5735,8,18,2,8,2,2,6291611.0
6260,8,18,2,9,1,1,5.91
650,8,18,2,12,2,2,11060512.0
1867,8,20,1,2,2,2,2644438.0
1263,8,20,1,3,2,2,2002244.0
2871,8,20,1,6,2,2,318955.0
3879,8,20,1,7,2,2,92435.0
2424,8,20,1,10,2,2,16231.0
3460,8,20,1,11,2,2,3452.0
39,8,20,1,12,2,2,5077755.0
5524,8,20,2,1,2,2,1557005.0
4386,8,20,2,4,2,2,10429330.0
4998,8,20,2,5,2,2,789978.0
6261,8,20,2,9,1,1,6.42
651,8,20,2,12,2,2,11219308.0
1868,8,21,1,2,2,2,2666241.0
1264,8,21,1,3,2,2,1950727.0
2872,8,21,1,6,2,2,394255.0
3880,8,21,1,7,2,2,91160.0
2425,8,21,1,10,2,2,12612.0
3461,8,21,1,11,2,2,3849.0
40,8,21,1,12,2,2,5118844.0
5525,8,21,2,1,2,2,3125811.0
4387,8,21,2,4,2,2,10591474.0
4999,8,21,2,5,2,2,810552.0
5736,8,21,2,8,2,2,6998309.0
6262,8,21,2,9,1,1,7.47
652,8,21,2,12,2,2,11402026.0
1869,8,23,1,2,2,2,2659306.0
1265,8,23,1,3,2,2,1891365.0
2873,8,23,1,6,2,2,479971.0
3881,8,23,1,7,2,2,88120.0
2426,8,23,1,10,2,2,16295.0
3462,8,23,1,11,2,2,6483.0
41,8,23,1,12,2,2,5141540.0
5526,8,23,2,1,2,2,3690200.0
4388,8,23,2,4,2,2,10658981.0
5000,8,23,2,5,2,2,828005.0
6263,8,23,2,9,1,1,8.61
653,8,23,2,12,2,2,11486986.0
1870,8,24,1,2,2,2,2691762.0
1266,8,24,1,3,2,2,1825106.0
2874,8,24,1,6,2,2,558857.0
3882,8,24,1,7,2,2,87964.0
2427,8,24,1,10,2,2,20196.0
3463,8,24,1,11,2,2,8423.0
42,8,24,1,12,2,2,5192308.0
5527,8,24,2,1,2,2,4615139.0
4389,8,24,2,4,2,2,10718502.0
5001,8,24,2,5,2,2,864921.0
5737,8,24,2,8,2,2,8536720.0
6264,8,24,2,9,1,1,8.99
654,8,24,2,12,2,2,11583423.0
1871,13,5,1,2,2,2,7370925.0
1267,13,5,1,3,2,2,4285695.0
2875,13,5,1,6,2,2,1834237.0
3883,13,5,1,7,2,2,628170.0
2428,13,5,1,10,2,2,1735.0
43,13,5,1,12,2,2,14120762.0
4390,13,5,2,4,2,2,25011638.0
5002,13,5,2,5,2,2,2340815.0
5738,13,5,2,8,2,2,3470000.0
655,13,5,2,12,2,2,27352453.0
1872,13,6,1,2,2,2,7512886.0
1268,13,6,1,3,2,2,4051360.0
2876,13,6,1,6,2,2,2073231.0
3884,13,6,1,7,2,2,788239.0
2429,13,6,1,10,2,2,19890.0
44,13,6,1,12,2,2,14445606.0
4391,13,6,2,4,2,2,25816843.0
5003,13,6,2,5,2,2,2506043.0
5739,13,6,2,8,2,2,3840000.0
6265,13,6,2,9,1,1,2.46
656,13,6,2,12,2,2,28322886.0
1873,13,8,1,2,2,2,7569285.0
1269,13,8,1,3,2,2,4035061.0
2877,13,8,1,6,2,2,2193813.0
3885,13,8,1,7,2,2,848276.0
2430,13,8,1,10,2,2,19890.0
45,13,8,1,12,2,2,14666325.0
4392,13,8,2,4,2,2,26489291.0
5004,13,8,2,5,2,2,2696649.0
5740,13,8,2,8,2,2,3840000.0
657,13,8,2,12,2,2,29185940.0
1874,13,9,1,2,2,2,7731001.0
1270,13,9,1,3,2,2,3898554.0
2878,13,9,1,6,2,2,2655055.0
3886,13,9,1,7,2,2,837830.0
2431,13,9,1,10,2,2,19734.0
46,13,9,1,12,2,2,15142174.0
4393,13,9,2,4,2,2,28256386.0
5005,13,9,2,5,2,2,2684337.0
5741,13,9,2,8,2,2,4626000.0
6266,13,9,2,9,1,1,2.93
658,13,9,2,12,2,2,30940723.0
1875,13,11,1,2,2,2,7809119.0
1271,13,11,1,3,2,2,3839874.0
2879,13,11,1,6,2,2,2846057.0
3887,13,11,1,7,2,2,854360.0
2432,13,11,1,10,2,2,19734.0
47,13,11,1,12,2,2,15369144.0
4394,13,11,2,4,2,2,26639585.0
5006,13,11,2,5,2,2,3842578.0
659,13,11,2,12,2,2,30482163.0
1876,13,12,1,2,2,2,7894646.0
1272,13,12,1,3,2,2,3335826.0
2880,13,12,1,6,2,2,3383762.0
