Time_Key,Year,Quarter,YearQuarter
1,2015,,2015
2,2016,,2016
3,2017,,2017
4,2018,,2018
5,2018,Q2,2018-Q2
6,2018,Q4,2018-Q4
7,2019,,2019
8,2019,Q2,2019-Q2
9,2019,Q4,2019-Q4
10,2020,,2020
11,2020,Q2,2020-Q2
12,2020,Q4,2020-Q4
13,2021,,2021
14,2021,Q2,2021-Q2
15,2021,Q4,2021-Q4
16,2022,,2022
17,2022,Q2,2022-Q2
18,2022,Q4,2022-Q4
19,2023,,2023
20,2023,Q2,2023-Q2
21,2023,Q4,2023-Q4
22,2024,,2024
23,2024,Q2,2024-Q2
24,2024,Q4,2024-Q4
25,2025,,2025
