Country_Name,Type,NetworkAccessType,NetworkType,YearQuarter,MeasureValue,Unit,Year,Quarter
Canada,Subscriptions,Total,Fixed broadband,2024-Q4,17045769.0,Subscriptions,2024,Q4
Chile,Subscriptions,Total,Fixed broadband,2018-Q2,3149589.0,Subscriptions,2018,Q2
Chile,Subscriptions,Total,Fixed broadband,2018-Q4,3250888.0,Subscriptions,2018,Q4
Chile,Subscriptions,Total,Fixed broadband,2019-Q2,3395050.0,Subscriptions,2019,Q2
Chile,Subscriptions,Total,Fixed broadband,2019-Q4,3429668.0,Subscriptions,2019,Q4
Chile,Subscriptions,Total,Fixed broadband,2020-Q2,3583136.0,Subscriptions,2020,Q2
Chile,Subscriptions,Total,Fixed broadband,2020-Q4,3763826.0,Subscriptions,2020,Q4
Chile,Subscriptions,Total,Fixed broadband,2021-Q2,4085587.0,Subscriptions,2021,Q2
Chile,Subscriptions,Total,Fixed broadband,2021-Q4,4283686.0,Subscriptions,2021,Q4
Chile,Subscriptions,Total,Fixed broadband,2022-Q2,4415640.0,Subscriptions,2022,Q2
Chile,Subscriptions,Total,Fixed broadband,2022-Q4,4453599.0,Subscriptions,2022,Q4
Chile,Subscriptions,Total,Fixed broadband,2023-Q2,4455863.0,Subscriptions,2023,Q2
Chile,Subscriptions,Total,Fixed broadband,2023-Q4,4520631.0,Subscriptions,2023,Q4
Chile,Subscriptions,Total,Fixed broadband,2024-Q2,4606717.0,Subscriptions,2024,Q2
Chile,Subscriptions,Total,Fixed broadband,2024-Q4,4690504.0,Subscriptions,2024,Q4
Colombia,Subscriptions,Total,Fixed broadband,2018-Q2,6568058.0,Subscriptions,2018,Q2
Colombia,Subscriptions,Total,Fixed broadband,2018-Q4,6722184.0,Subscriptions,2018,Q4
Colombia,Subscriptions,Total,Fixed broadband,2019-Q2,6902265.0,Subscriptions,2019,Q2
Colombia,Subscriptions,Total,Fixed broadband,2019-Q4,6974507.0,Subscriptions,2019,Q4
Colombia,Subscriptions,Total,Fixed broadband,2020-Q2,7482769.0,Subscriptions,2020,Q2
Colombia,Subscriptions,Total,Fixed broadband,2020-Q4,7826617.0,Subscriptions,2020,Q4
Colombia,Subscriptions,Total,Fixed broadband,2021-Q2,8291996.0,Subscriptions,2021,Q2
Colombia,Subscriptions,Total,Fixed broadband,2021-Q4,8454845.0,Subscriptions,2021,Q4
Colombia,Subscriptions,Total,Fixed broadband,2022-Q2,8670740.0,Subscriptions,2022,Q2
Colombia,Subscriptions,Total,Fixed broadband,2022-Q4,8846422.0,Subscriptions,2022,Q4
Colombia,Subscriptions,Total,Fixed broadband,2023-Q2,8949987.0,Subscriptions,2023,Q2
Colombia,Subscriptions,Total,Fixed broadband,2023-Q4,8914133.0,Subscriptions,2023,Q4
Colombia,Subscriptions,Total,Fixed broadband,2024-Q2,8961513.0,Subscriptions,2024,Q2
Colombia,Subscriptions,Total,Fixed broadband,2024-Q4,9202178.0,Subscriptions,2024,Q4
Costa Rica,Subscriptions,Total,Fixed broadband,2018-Q2,805477.0,Subscriptions,2018,Q2
Costa Rica,Subscriptions,Total,Fixed broadband,2018-Q4,834784.0,Subscriptions,2018,Q4
Costa Rica,Subscriptions,Total,Fixed broadband,2019-Q2,871494.0,Subscriptions,2019,Q2
Costa Rica,Subscriptions,Total,Fixed broadband,2019-Q4,904734.0,Subscriptions,2019,Q4
Costa Rica,Subscriptions,Total,Fixed broadband,2020-Q2,950278.0,Subscriptions,2020,Q2
Costa Rica,Subscriptions,Total,Fixed broadband,2020-Q4,992725.0,Subscriptions,2020,Q4
Costa Rica,Subscriptions,Total,Fixed broadband,2021-Q2,1024865.0,Subscriptions,2021,Q2
Costa Rica,Subscriptions,Total,Fixed broadband,2021-Q4,1058766.0,Subscriptions,2021,Q4
Costa Rica,Subscriptions,Total,Fixed broadband,2022-Q2,1080825.0,Subscriptions,2022,Q2
Costa Rica,Subscriptions,Total,Fixed broadband,2022-Q4,1105670.0,Subscriptions,2022,Q4
Costa Rica,Subscriptions,Total,Fixed broadband,2023-Q2,1134411.0,Subscriptions,2023,Q2
Costa Rica,Subscriptions,Total,Fixed broadband,2023-Q4,1149924.0,Subscriptions,2023,Q4
Costa Rica,Subscriptions,Total,Fixed broadband,2024-Q2,1174214.0,Subscriptions,2024,Q2
Costa Rica,Subscriptions,Total,Fixed broadband,2024-Q4,1194638.0,Subscriptions,2024,Q4
Czechia,Subscriptions,Total,Fixed broadband,2018-Q2,3198822.0,Subscriptions,2018,Q2
Czechia,Subscriptions,Total,Fixed broadband,2018-Q4,3214401.0,Subscriptions,2018,Q4
Czechia,Subscriptions,Total,Fixed broadband,2019-Q2,3277807.0,Subscriptions,2019,Q2
Czechia,Subscriptions,Total,Fixed broadband,2019-Q4,3728437.0,Subscriptions,2019,Q4
Czechia,Subscriptions,Total,Fixed broadband,2020-Q2,3825616.0,Subscriptions,2020,Q2
Czechia,Subscriptions,Total,Fixed broadband,2020-Q4,3835701.0,Subscriptions,2020,Q4
Czechia,Subscriptions,Total,Fixed broadband,2021-Q2,3916601.0,Subscriptions,2021,Q2
Czechia,Subscriptions,Total,Fixed broadband,2021-Q4,3938671.0,Subscriptions,2021,Q4
Czechia,Subscriptions,Total,Fixed broadband,2022-Q2,4003602.0,Subscriptions,2022,Q2
Czechia,Subscriptions,Total,Fixed broadband,2022-Q4,4022055.0,Subscriptions,2022,Q4
Czechia,Subscriptions,Total,Fixed broadband,2023-Q2,4084105.0,Subscriptions,2023,Q2
Czechia,Subscriptions,Total,Fixed broadband,2023-Q4,4088706.0,Subscriptions,2023,Q4
Czechia,Subscriptions,Total,Fixed broadband,2024-Q2,4161749.0,Subscriptions,2024,Q2
Czechia,Subscriptions,Total,Fixed broadband,2024-Q4,4165747.0,Subscriptions,2024,Q4
Denmark,Subscriptions,Total,Fixed broadband,2018-Q2,2530584.0,Subscriptions,2018,Q2
Denmark,Subscriptions,Total,Fixed broadband,2018-Q4,2535513.0,Subscriptions,2018,Q4
Denmark,Subscriptions,Total,Fixed broadband,2019-Q2,2549148.0,Subscriptions,2019,Q2
Denmark,Subscriptions,Total,Fixed broadband,2019-Q4,2537430.0,Subscriptions,2019,Q4
Denmark,Subscriptions,Total,Fixed broadband,2020-Q2,2571736.0,Subscriptions,2020,Q2
Denmark,Subscriptions,Total,Fixed broadband,2020-Q4,2578110.0,Subscriptions,2020,Q4
Denmark,Subscriptions,Total,Fixed broadband,2021-Q2,2600000.0,Subscriptions,2021,Q2
Denmark,Subscriptions,Total,Fixed broadband,2021-Q4,2613852.0,Subscriptions,2021,Q4
Denmark,Subscriptions,Total,Fixed broadband,2022-Q2,2637733.0,Subscriptions,2022,Q2
Denmark,Subscriptions,Total,Fixed broadband,2022-Q4,2645902.0,Subscriptions,2022,Q4
Denmark,Subscriptions,Total,Fixed broadband,2023-Q2,2646625.0,Subscriptions,2023,Q2
Denmark,Subscriptions,Total,Fixed broadband,2023-Q4,2619274.0,Subscriptions,2023,Q4
Denmark,Subscriptions,Total,Fixed broadband,2024-Q2,2593797.0,Subscriptions,2024,Q2
Denmark,Subscriptions,Total,Fixed broadband,2024-Q4,2545344.0,Subscriptions,2024,Q4
Estonia,Subscriptions,Total,Fixed broadband,2018-Q2,414322.0,Subscriptions,2018,Q2
Estonia,Subscriptions,Total,Fixed broadband,2018-Q4,421640.0,Subscriptions,2018,Q4
Estonia,Subscriptions,Total,Fixed broadband,2019-Q2,423633.0,Subscriptions,2019,Q2
Estonia,Subscriptions,Total,Fixed broadband,2019-Q4,431251.0,Subscriptions,2019,Q4
Estonia,Subscriptions,Total,Fixed broadband,2020-Q2,429924.0,Subscriptions,2020,Q2
Estonia,Subscriptions,Total,Fixed broadband,2020-Q4,435026.0,Subscriptions,2020,Q4
Estonia,Subscriptions,Total,Fixed broadband,2021-Q2,469368.0,Subscriptions,2021,Q2
Estonia,Subscriptions,Total,Fixed broadband,2021-Q4,474170.0,Subscriptions,2021,Q4
Estonia,Subscriptions,Total,Fixed broadband,2022-Q2,491715.0,Subscriptions,2022,Q2
Estonia,Subscriptions,Total,Fixed broadband,2022-Q4,494173.0,Subscriptions,2022,Q4
Estonia,Subscriptions,Total,Fixed broadband,2023-Q2,517547.0,Subscriptions,2023,Q2
Estonia,Subscriptions,Total,Fixed broadband,2023-Q4,516147.0,Subscriptions,2023,Q4
Estonia,Subscriptions,Total,Fixed broadband,2024-Q2,517798.0,Subscriptions,2024,Q2
Estonia,Subscriptions,Total,Fixed broadband,2024-Q4,515499.0,Subscriptions,2024,Q4
Finland,Subscriptions,Total,Fixed broadband,2018-Q2,1708000.0,Subscriptions,2018,Q2
Finland,Subscriptions,Total,Fixed broadband,2018-Q4,1737000.0,Subscriptions,2018,Q4
Finland,Subscriptions,Total,Fixed broadband,2019-Q2,1762000.0,Subscriptions,2019,Q2
Finland,Subscriptions,Total,Fixed broadband,2019-Q4,1797000.0,Subscriptions,2019,Q4
Finland,Subscriptions,Total,Fixed broadband,2020-Q2,1801000.0,Subscriptions,2020,Q2
Finland,Subscriptions,Total,Fixed broadband,2020-Q4,1846000.0,Subscriptions,2020,Q4
Finland,Subscriptions,Total,Fixed broadband,2021-Q2,1845000.0,Subscriptions,2021,Q2
Finland,Subscriptions,Total,Fixed broadband,2021-Q4,1864000.0,Subscriptions,2021,Q4
Finland,Subscriptions,Total,Fixed broadband,2022-Q2,1879000.0,Subscriptions,2022,Q2
Finland,Subscriptions,Total,Fixed broadband,2022-Q4,1912000.0,Subscriptions,2022,Q4
Finland,Subscriptions,Total,Fixed broadband,2023-Q2,1941000.0,Subscriptions,2023,Q2
Finland,Subscriptions,Total,Fixed broadband,2023-Q4,1979000.0,Subscriptions,2023,Q4
Finland,Subscriptions,Total,Fixed broadband,2024-Q2,1998000.0,Subscriptions,2024,Q2
Finland,Subscriptions,Total,Fixed broadband,2024-Q4,2049000.0,Subscriptions,2024,Q4
France,Subscriptions,Total,Fixed broadband,2018-Q2,28745000.0,Subscriptions,2018,Q2
France,Subscriptions,Total,Fixed broadband,2018-Q4,29160000.0,Subscriptions,2018,Q4
France,Subscriptions,Total,Fixed broadband,2019-Q2,29446000.0,Subscriptions,2019,Q2
France,Subscriptions,Total,Fixed broadband,2019-Q4,29855000.0,Subscriptions,2019,Q4
France,Subscriptions,Total,Fixed broadband,2020-Q2,30153000.0,Subscriptions,2020,Q2
France,Subscriptions,Total,Fixed broadband,2020-Q4,30650000.0,Subscriptions,2020,Q4
France,Subscriptions,Total,Fixed broadband,2021-Q2,31042000.0,Subscriptions,2021,Q2
France,Subscriptions,Total,Fixed broadband,2021-Q4,31510000.0,Subscriptions,2021,Q4
France,Subscriptions,Total,Fixed broadband,2022-Q2,31774000.0,Subscriptions,2022,Q2
France,Subscriptions,Total,Fixed broadband,2022-Q4,31977000.0,Subscriptions,2022,Q4
France,Subscriptions,Total,Fixed broadband,2023-Q2,32154000.0,Subscriptions,2023,Q2
France,Subscriptions,Total,Fixed broadband,2023-Q4,32331000.0,Subscriptions,2023,Q4
France,Subscriptions,Total,Fixed broadband,2024-Q2,32418000.0,Subscriptions,2024,Q2
France,Subscriptions,Total,Fixed broadband,2024-Q4,32558000.0,Subscriptions,2024,Q4
